Survived,Pclass,Age,SibSp,Parch,Fare_log,age_Pclass_median,fare_Pclass_median,age_Pclass_std,fare_Pclass_std,SibSp_count,Parch_count,fare_median_diff,Distance to Lifeboat,Ticket_Count,Sex_male,Embarked_Q,Embarked_S,Side of ship_Left Center,Side of ship_NaN,Side of ship_Right,Side of ship_Right Center,Ship Location_Front,Ship Location_Mid,Ship Location_NaN
0,3,22.0,1,0,2.1102132003465894,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.8000000000000007,-1,1,1,0,1,0,1,0,0,0,0,1
1,1,38.0,1,0,4.2805931204649,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,9.304099999999998,3,1,0,0,0,0,0,1,0,0,0,0
1,3,26.0,0,0,2.188856327665703,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.1250000000000009,-1,1,0,0,1,0,1,0,0,0,0,1
1,1,35.0,1,0,3.9908341858524357,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-8.879199999999997,3,2,0,0,1,0,0,0,1,0,0,0
0,3,35.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,24.0,0,0,2.246892662898172,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.4082999999999988,-1,1,1,1,0,0,1,0,0,0,0,1
0,1,54.0,0,0,3.967694202798607,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-10.116700000000002,5,1,1,0,1,0,0,0,0,0,1,0
0,3,2.0,3,1,3.0944457464900235,24.0,8.05,10.632997372069037,11.7239905502752,491,491,13.024999999999999,-1,4,1,0,1,0,1,0,0,0,0,1
1,3,27.0,0,2,2.495953738718064,24.0,8.05,10.632997372069037,11.7239905502752,491,491,3.0832999999999995,-1,3,0,0,1,0,1,0,0,0,0,1
1,2,14.0,1,0,3.436268471383741,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,15.047899999999998,-1,2,0,0,0,0,1,0,0,0,0,1
1,3,4.0,1,1,2.8735646395797834,24.0,8.05,10.632997372069037,11.7239905502752,491,491,8.649999999999999,7,2,0,0,1,1,0,0,0,1,0,0
1,1,58.0,0,0,3.3160025355989236,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-35.429199999999994,3,1,0,0,1,0,0,0,1,0,1,0
0,3,20.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,39.0,1,5,3.4742929367327062,24.0,8.05,10.632997372069037,11.7239905502752,491,491,23.224999999999998,-1,7,1,0,1,0,1,0,0,0,0,1
0,3,14.0,0,0,2.180891922715322,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.19580000000000108,-1,1,0,0,1,0,1,0,0,0,0,1
1,2,55.0,0,0,2.833213344056216,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,0.9771000000000001,-1,1,0,0,1,0,1,0,0,0,0,1
0,3,2.0,4,1,3.405355391810819,24.0,8.05,10.632997372069037,11.7239905502752,491,491,21.075,-1,5,1,1,0,0,1,0,0,0,0,1
1,2,24.0,0,0,2.6390573296152584,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-2.0229,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,31.0,1,0,2.9444389791664403,24.0,8.05,10.632997372069037,11.7239905502752,491,491,9.95,-1,1,0,0,1,0,1,0,0,0,0,1
1,3,24.0,0,0,2.1071782966514356,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.8250000000000011,-1,1,0,0,0,0,1,0,0,0,0,1
0,2,35.0,0,0,3.295836866004329,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,10.9771,-1,2,1,0,1,0,1,0,0,0,0,1
1,2,34.0,0,0,2.6390573296152584,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-2.0229,4,1,1,0,1,1,0,0,0,1,0,0
1,3,15.0,0,0,2.2004637699272855,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.020800000000001262,-1,1,0,1,0,0,1,0,0,0,0,1
1,1,28.0,0,0,3.597312260588446,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-26.4792,1,1,1,0,1,1,0,0,0,1,0,0
0,3,8.0,3,1,3.0944457464900235,24.0,8.05,10.632997372069037,11.7239905502752,491,491,13.024999999999999,-1,4,0,0,1,0,1,0,0,0,0,1
1,3,38.0,1,5,3.4777725458882283,24.0,8.05,10.632997372069037,11.7239905502752,491,491,23.3375,-1,4,0,0,1,0,1,0,0,0,0,1
0,3,24.0,0,0,2.1071782966514356,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.8250000000000011,-1,1,1,0,0,0,1,0,0,0,0,1
0,1,19.0,3,2,5.575949103146316,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,201.0208,3,4,1,0,1,0,0,1,0,1,0,0
1,3,24.0,0,0,2.1837114628556327,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.17080000000000073,3,1,0,1,0,0,0,1,0,1,0,0
0,3,24.0,0,0,2.1855792552411137,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.15420000000000034,3,1,1,0,1,0,0,1,0,1,0,0
0,1,40.0,0,0,3.357621598945279,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-34.258399999999995,3,1,1,0,0,0,0,1,0,1,0,0
1,1,24.0,1,0,4.993969182787072,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,84.54160000000002,3,2,0,0,0,0,0,1,0,1,0,0
1,3,24.0,0,0,2.169053700369523,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.3000000000000007,3,1,0,1,0,0,0,1,0,1,0,0
0,2,66.0,0,0,2.4423470353692043,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-4.5229,3,1,1,0,1,0,0,1,0,1,0,0
0,1,28.0,1,0,4.420896324687287,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,20.1916,3,2,1,0,0,0,0,1,0,1,0,0
0,1,42.0,1,0,3.970291913552122,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-9.979199999999999,3,2,1,0,1,0,0,1,0,1,0,0
1,3,24.0,0,0,2.1076888046179385,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.8208000000000011,3,1,1,0,0,0,0,1,0,1,0,0
0,3,21.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,18.0,2,0,2.9444389791664403,24.0,8.05,10.632997372069037,11.7239905502752,491,491,9.95,-1,2,0,0,1,0,1,0,0,0,0,1
1,3,14.0,1,0,2.5048481563289,24.0,8.05,10.632997372069037,11.7239905502752,491,491,3.191699999999999,-1,2,0,0,0,0,1,0,0,0,0,1
0,3,40.0,1,0,2.348991465808201,24.0,8.05,10.632997372069037,11.7239905502752,491,491,1.424999999999999,2,1,0,0,1,0,0,0,0,0,0,0
0,2,27.0,1,0,3.091042453358316,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,5.9771,-1,2,0,0,1,0,1,0,0,0,0,1
0,3,24.0,0,0,2.1855792552411137,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.15420000000000034,-1,1,1,0,0,0,1,0,0,0,0,1
1,2,3.0,1,2,3.7513658711253766,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,26.5563,-1,3,0,0,0,0,1,0,0,0,0,1
1,3,19.0,0,0,2.1837114628556327,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.17080000000000073,-1,1,0,1,0,0,1,0,0,0,0,1
0,3,24.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,24.0,1,0,2.803360380906535,24.0,8.05,10.632997372069037,11.7239905502752,491,491,7.449999999999999,-1,1,1,1,0,0,1,0,0,0,0,1
1,3,24.0,0,0,2.169053700369523,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.3000000000000007,-1,1,0,1,0,0,1,0,0,0,0,1
0,3,24.0,2,0,3.1214482048688246,24.0,8.05,10.632997372069037,11.7239905502752,491,491,13.6292,-1,1,1,0,0,0,1,0,0,0,0,1
0,3,18.0,1,0,2.9338568698359038,24.0,8.05,10.632997372069037,11.7239905502752,491,491,9.75,-1,2,0,0,1,0,1,0,0,0,0,1
0,3,7.0,4,1,3.705920919968788,24.0,8.05,10.632997372069037,11.7239905502752,491,491,31.6375,-1,6,1,0,1,0,1,0,0,0,0,1
0,3,21.0,0,0,2.174751721484161,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.2500000000000009,-1,1,1,0,1,0,1,0,0,0,0,1
1,1,49.0,1,0,4.353230991152628,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,14.750000000000007,-1,3,0,0,0,0,1,0,0,0,0,1
1,2,29.0,1,0,3.295836866004329,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,10.9771,-1,1,0,0,1,0,1,0,0,0,0,1
0,1,65.0,0,1,4.142804513146981,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,0.0,-1,1,1,0,0,0,1,0,0,0,0,1
1,1,24.0,0,0,3.597312260588446,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-26.4792,-1,1,1,0,1,0,1,0,0,0,0,1
1,2,21.0,0,0,2.4423470353692043,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-4.5229,-1,1,0,0,1,0,1,0,0,0,0,1
0,3,28.5,0,0,2.1076888046179385,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.8208000000000011,-1,1,1,0,0,0,1,0,0,0,0,1
1,2,5.0,1,2,3.3586377672433594,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,12.7271,-1,3,0,0,1,0,1,0,0,0,0,1
0,3,11.0,5,2,3.8691155044168695,24.0,8.05,10.632997372069037,11.7239905502752,491,491,38.849999999999994,-1,6,1,0,1,0,1,0,0,0,0,1
0,3,22.0,0,0,2.1076888046179385,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.8208000000000011,-1,1,1,0,0,0,1,0,0,0,0,1
1,1,38.0,0,0,4.394449154672439,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,18.0208,4,2,0,0,1,0,0,1,0,1,0,0
0,1,45.0,1,0,4.436455632600354,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,21.495799999999996,-1,2,1,0,1,0,1,0,0,0,0,1
0,3,4.0,3,2,3.3638415951183864,24.0,8.05,10.632997372069037,11.7239905502752,491,491,19.849999999999998,2,6,1,0,1,0,0,0,0,1,0,0
0,1,24.0,0,0,3.357621598945279,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-34.258399999999995,3,1,1,0,0,1,0,0,0,1,0,0
1,3,24.0,1,1,2.7878344138303452,24.0,8.05,10.632997372069037,11.7239905502752,491,491,7.195799999999998,-1,2,1,0,0,0,1,0,0,0,0,1
1,2,29.0,0,0,2.4423470353692043,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-4.5229,-1,1,0,0,1,0,1,0,0,0,0,1
0,3,19.0,0,0,2.2146605719425225,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.10829999999999984,-1,1,1,0,1,0,1,0,0,0,0,1
1,3,17.0,4,2,2.188856327665703,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.1250000000000009,-1,1,0,0,1,0,1,0,0,0,0,1
0,3,26.0,2,0,2.2682524139135403,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.6124999999999989,-1,1,1,0,1,0,1,0,0,0,0,1
0,2,32.0,0,0,2.4423470353692043,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-4.5229,2,1,1,0,1,0,0,0,0,1,0,0
0,3,16.0,5,2,3.8691155044168695,24.0,8.05,10.632997372069037,11.7239905502752,491,491,38.849999999999994,3,6,0,0,1,0,0,1,0,0,0,0
0,2,21.0,0,0,4.310799125385514,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,58.4771,-1,5,1,0,1,0,1,0,0,0,0,1
0,3,26.0,1,0,2.737880811060884,24.0,8.05,10.632997372069037,11.7239905502752,491,491,6.4041999999999994,-1,1,1,0,0,0,1,0,0,0,0,1
1,3,32.0,0,0,4.05171190165724,24.0,8.05,10.632997372069037,11.7239905502752,491,491,48.445800000000006,-1,7,1,0,1,0,1,0,0,0,0,1
0,3,25.0,0,0,2.157559320943788,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.40000000000000036,6,1,1,0,1,0,0,1,0,1,0,0
0,3,24.0,0,0,2.1855792552411137,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.15420000000000034,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,24.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,-1,1,1,0,1,0,1,0,0,0,0,1
1,2,0.83,0,2,3.4011973816621555,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,13.9771,-1,2,1,0,1,0,1,0,0,0,0,1
1,3,30.0,0,0,2.600836116795061,24.0,8.05,10.632997372069037,11.7239905502752,491,491,4.424999999999999,-1,2,0,0,1,0,1,0,0,0,0,1
0,3,22.0,0,0,2.302585092994046,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.9499999999999993,-1,1,1,0,1,0,1,0,0,0,0,1
1,3,29.0,0,0,2.3513752571634776,24.0,8.05,10.632997372069037,11.7239905502752,491,491,1.4499999999999993,-1,1,1,0,1,0,1,0,0,0,0,1
1,3,24.0,0,0,2.1733302571367834,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.26250000000000107,-1,1,0,1,0,0,1,0,0,0,0,1
0,1,28.0,0,0,3.8732821771117156,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-14.879199999999997,-1,1,1,0,1,0,1,0,0,0,0,1
1,2,17.0,0,0,2.4423470353692043,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-4.5229,6,1,0,0,1,1,0,0,0,1,0,0
1,3,33.0,3,0,2.8243506567983707,24.0,8.05,10.632997372069037,11.7239905502752,491,491,7.799999999999999,7,2,0,0,1,0,0,1,0,0,0,0
0,3,16.0,1,3,3.5660053559634015,24.0,8.05,10.632997372069037,11.7239905502752,491,491,26.325,7,4,1,0,1,0,0,1,0,0,0,0
0,3,24.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,7,1,1,0,1,0,0,1,0,0,0,0
1,1,23.0,3,2,5.575949103146316,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,201.0208,7,4,0,0,1,0,0,1,0,0,0,0
0,3,24.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,7,1,1,0,1,0,0,1,0,0,0,0
